Startup_Description,category,category_needed
 1 The main idea behind the establishment of this company is to offer Sustainable packaging for hotels and restaurants Recycling solutions for clients in the hospitality industry Innovative technological solutions for conventional businesses Sustainable materials for construction companies Bridge the gap between graduates and MSMEs 2 The business has a good growth opportunity and is capable of making an impact in the industry 3 The team is higheducated and prepared to work for the concept 4 The company is not yet operational and is looking for funds for the same 5 We can also provide collateral if required to the interested investor ,6,Sustainable Energy
 New company that is in the process of registration aims to build the world s largest most efficient sustainable BTC mining farms in the next three years We have an active Ethereum and AltCoin mining company in Germany through which we have already gained experience in this business This company is the parent company of a German mining company Company has one director and has no liability We know what kind of machines equipment and tools to buy to setup the farm We have started to look for the facility to setup the mining farm Company is based in Cyprus and is listed by a management member based in Germany The business projects a monthly revenue of EUR 17 3 thousand after the investment The revenue expectations are with the recent courses of cryptocurrencies The subsidiary company has a 6 EBITDA margin and had last year reposted sales of EUR 64 2 thousand ,7,others
 A make in India startup with a philosophy to support a green planet for a greener and healthier way of living and a provider of environmentally friendly cleaning solutions We plan to to manufacture and sell cleaning products and supplies We have completed the R D work and in the process of factory setup Purchasing the machinery from 3 different vendors Products will be marketed and sold under our own brand name Manufacturing capacity will be 100K liters per month in 1 shift ,2,others
 Company based in Panama City that created and developed an online digital arts platform Domain and website are now ready Our platform will help users connect with artists to purchase pictures art from them Our platform s commission would be a lot lower than the average We will keep only 20 proceeds from each sale Our goal is to reach more than 50 000 users in less than a year Looking for funds to develop our website to expend it and reach our plans ,8,others
 Have served hundreds of clients Company has 25 percent yearly growth Promoters has 20 plus years experience in this industry Best structure in India award for 2015 Have executed more than 20 project in 3 years ,4,others
 We are an innovative selfsustainable business model that offers a comprehensive integrated basket solution to farmers and food consumers at affordable prices by directly linking consumer health with farming An innovative way of redefining the Farm to Folk business by filling all the gaps in production and supply chain both and making safe food affordable wealth gain to all stakeholders Currently we are developing an application where we would offer services to the farmer and the consumer The application development is outsourced and we have already tied up with farmers in 2 areas near Gurgaon The application will provide endtoend farming solutions we will sell the agri input at the lowest cost to farmers at their doorstep Offer farmers multi options to sell their nonperishable farm produces to the food processor exporter trader and consumers ENAM market and warehouse deposit scheme and we would charge 1 2 of the price We will provide a safe fresh and organically grown food to food consumers A range of fruits vegetables cereals millets pulses rice flours spices dry fruits jaggery edible oil and much more healthy food on the application at an affordable price to the consumers The promoter has 20 years of experience in this field ,6,Sustainable Energy
 We are a company focused on the production of handmade wood products with a focus on the reuse of discarded raw material as well as the restoration of antique furniture aiming at a minimum environmental impact Our customers are end users we have an interest in expanding this to a production that serves retail stores as well We have a range of 50 customers and we want to expand this by proving that it is possible to work with wood responsibly and without harming the environment We can produce about 70 to 80 pieces of handicrafts monthly but we also manufacture tables and other big furniture products which require a certain manufacturing time Have not tagged the products with a brand but we wish to create our brand identity Promoter has 14 years of experience in this field and solely owns the business We do not have any outstanding bank loan debt on the company ,5,Tech
 Real estate construction company incorporated in 2018 Have done a small renovation project in the past Our new project consists of the construction of 3 luxury apartment blocks with 21 apartments Obtaining government approvals would take around 3 to 4 months and post that the project would be completed in a year s time Director of the company has over 10 years of experience as a construction businessman This location has around 48 islands which makes it a compelling option to buy it as a second home for tourists Each apartment is expected to be sold for 2 500 to 3 000 per m2 after project completion ,10,others
 A platform connecting photographers and businesses We connect photographers with companies that follow sustainable environment friendly and ethical practices Our aim is to impact and grow these companies through impactful imagery These companies post the project requirements on our platform and photographers connect with them based on their location and capability to complete the project Photographers are charged a commission of 16 on the total project amount We have 200 registered photographers Our business was in the testing phase where we conducted trial runs and test projects We are looking to exit the market and sell our business to someone who can take the platform from the beta version to a global platform ,8,others
 We are an ecommerce platform that aims to sell organic products on our website like super foods organic and naturally farmed foods gluten free natural and chemical free alternatives Have tiedup with 10 organic brands from whom we procure the products Till date we have connected to more than 2 000 consumers through our reach and out of which we have received 476 orders Business has no loans and is run by a sole owner Business is simply aimed at a model where everyone s right from mother earth to the farmers to the consumers is considered It is a holistic business model focused on living in sync with nature ,8,others
